,tradingsymbol,instrument_token
0,3MINDIA,121345
1,AARTIDRUGS,1147137
2,AARTIIND,1793
3,AAVAS,1378561
4,ABB,3329
5,ABBOTINDIA,4583169
6,ABCAPITAL,5533185
7,ABFRL,7707649
8,ACC,5633
9,ADANIENT,6401
10,ADANIGREEN,912129
11,ADANIPORTS,3861249
12,ADVENZYMES,4617985
13,AEGISCHEM,10241
14,AFFLE,2903809
15,AIAENG,3350017
16,AJANTPHARM,2079745
17,AKZOINDIA,375553
18,ALEMBICLTD,20225
19,ALKEM,2995969
20,ALKYLAMINE,1148673
21,ALOKINDS,4524801
22,AMARAJABAT,25601
23,AMBER,303361
24,AMBUJACEM,325121
25,ANGELBRKG,82945
26,APLAPOLLO,6599681
27,APLLTD,6483969
28,APOLLOHOSP,40193
29,APOLLOTYRE,41729
30,ASAHIINDIA,1376769
31,ASHOKA,5166593
32,ASHOKLEY,54273
33,ASIANPAINT,60417
34,ASTERDM,386049
35,ASTRAL,3691009
36,ASTRAZEN,1436161
37,ATUL,67329
38,AUBANK,5436929
39,AUROPHARMA,70401
40,AVANTIFEED,2031617
41,AXISBANK,1510401
42,BAJAJ-AUTO,4267265
43,BAJAJCON,4999937
44,BAJAJELEC,3848705
45,BAJAJFINSV,4268801
46,BAJAJHLDNG,78081
47,BAJFINANCE,81153
48,BALAMINES,3712257
49,BALKRISIND,85761
50,BALMLAWRIE,86529
51,BALRAMCHIN,87297
52,BANDHANBNK,579329
53,BANKBARODA,1195009
54,BANKINDIA,1214721
55,BASF,94209
56,BATAINDIA,94977
57,BAYERCROP,4589313
58,BBTC,97281
59,BDL,548865
60,BEL,98049
61,BEML,101121
62,BERGEPAINT,103425
63,BHARATFORG,108033
64,BHARATRAS,981505
65,BHARTIARTL,2714625
66,BHEL,112129
67,BIOCON,2911489
68,BIRLACORPN,122881
69,BLISSGVS,4931841
70,BLUEDART,126721
71,BLUESTARCO,2127617
72,BOSCHLTD,558337
73,BPCL,134657
74,BRIGADE,3887105
75,BRITANNIA,140033
76,BSE,5013761
77,BSOFT,1790465
78,BURGERKING,382465
79,CADILAHC,2029825
80,CAMS,87553
81,CANBK,2763265
82,CANFINHOME,149249
83,CAPLIPOINT,999937
84,CARBORUNIV,152321
85,CASTROLIND,320001
86,CCL,2931713
87,CEATLTD,3905025
88,CENTRALBK,3812865
89,CENTURYPLY,3406081
90,CENTURYTEX,160001
91,CERA,3849985
92,CESC,160769
93,CGCL,5204225
94,CHALET,2187777
95,CHAMBLFERT,163073
96,CHOLAFIN,175361
97,CHOLAHLDNG,5565441
98,CIPLA,177665
99,COALINDIA,5215745
100,COCHINSHIP,5506049
101,COFORGE,2955009
102,COLPAL,3876097
103,CONCOR,1215745
104,COROMANDEL,189185
105,CREDITACC,1131777
106,CRISIL,193793
107,CROMPTON,4376065
108,CSBBANK,3831297
109,CUB,1459457
110,CUMMINSIND,486657
111,CYIENT,1471489
112,DABUR,197633
113,DALBHARAT,2067201
114,DBL,4630017
115,DCAL,5556225
116,DCBBANK,3513601
117,DCMSHRIRAM,207617
118,DEEPAKNTR,5105409
119,DELTACORP,3851265
120,DHANI,3938305
121,DHANUKA,6248705
122,DISHTV,3722241
123,DIVISLAB,2800641
124,DIXON,5552641
125,DLF,3771393
126,DMART,5097729
127,DRREDDY,225537
128,ECLERX,3885825
129,EDELWEISS,3870465
130,EICHERMOT,232961
131,EIDPARRY,234497
132,EIHOTEL,235265
133,ELGIEQUIP,239873
134,EMAMILTD,3460353
135,ENDURANCE,4818433
136,ENGINERSIN,1256193
137,EPL,251137
138,EQUITAS,4314113
139,ERIS,5415425
140,ESCORTS,245249
141,EXIDEIND,173057
142,FCONSUMER,7689729
143,FDC,1253889
144,FEDERALBNK,261889
145,FINCABLES,265729
146,FINEORG,958465
147,FINPIPE,266497
148,FLUOROCHEM,3520001
149,FORTIS,3735553
150,FRETAIL,4704769
151,FSL,3661825
152,GAEL,2259969
153,GAIL,1207553
154,GALAXYSURF,336641
155,GARFIBRES,281601
156,GEPIL,2012673
157,GESHIP,3526657
158,GICRE,70913
159,GILLETTE,403457
160,GLAND,303617
161,GLAXO,295169
162,GLENMARK,1895937
163,GMMPFAUDLR,401921
164,GMRINFRA,3463169
165,GNFC,300545
166,GODFRYPHLP,302337
167,GODREJAGRO,36865
168,GODREJCP,2585345
169,GODREJIND,2796801
170,GODREJPROP,4576001
171,GPPL,5051137
172,GRANULES,3039233
173,GRAPHITE,151553
174,GRASIM,315393
175,GREAVESCOT,316161
176,GRINDWELL,3471361
177,GRSE,1401601
178,GSFC,319233
179,GSPL,3378433
180,GUJALKALI,324353
181,GUJGASLTD,2713345
182,GULFOILLUB,1124097
183,HAL,589569
184,HATSUN,996353
185,HAVELLS,2513665
186,HCLTECH,1850625
187,HDFC,340481
188,HDFCAMC,1086465
189,HDFCBANK,341249
190,HDFCLIFE,119553
191,HEG,342017
192,HEIDELBERG,592897
193,HEMIPROP,179457
194,HEROMOTOCO,345089
195,HINDALCO,348929
196,HINDCOPPER,4592385
197,HINDPETRO,359937
198,HINDUNILVR,356865
199,HINDZINC,364545
200,HONAUT,874753
201,HSCL,3669505
202,HUDCO,5331201
203,HUHTAMAKI,655873
204,IBREALEST,3699201
205,IBULHSGFIN,7712001
206,ICICIBANK,1270529
207,ICICIGI,5573121
208,ICICIPRULI,4774913
209,ICIL,3068673
210,IDBI,377857
211,IDEA,3677697
212,IDFC,3060993
213,IDFCFIRSTB,2863105
214,IEX,56321
215,IFBIND,380161
216,IGL,2883073
217,IIFL,3023105
218,IIFLWAM,3343617
219,INDHOTEL,387073
220,INDIACEM,387841
221,INDIAMART,2745857
222,INDIANB,3663105
223,INDIGO,2865921
224,INDOCO,2989313
225,INDUSINDBK,1346049
226,INDUSTOWER,7458561
227,INFIBEAM,4159745
228,INFY,408065
229,INGERRAND,408833
230,INOXLEISUR,3384577
231,INTELLECT,1517057
232,IOB,2393089
233,IOC,415745
234,IOLCP,5225729
235,IPCALAB,418049
236,IRB,3920129
237,IRCON,1276417
238,IRCTC,3484417
239,ISEC,637185
240,ITC,424961
241,ITI,428801
242,J&KBANK,1442049
243,JAMNAAUTO,5319169
244,JBCHEPHARM,441857
245,JCHAC,1149697
246,JINDALSAW,774145
247,JINDALSTEL,1723649
248,JKCEMENT,3397121
