Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY MIDCAP 50","8,315.85","8,332.35","8,213.25","8,237.25","-34.40","-0.42","7,884.43","8,223.37","8,294.80","4,368.00","83.60","12.60"
"IDEA","10.60","11.60","10.45","11.10","0.55","5.21","4,849.73","540.26","13.80","4.55","20.65","77.60"
"PAGEIND","33,123.75","34,774.00","33,026.65","34,759.90","1,636.15","4.94","0.32","109.74","34,774.00","18,425.05","79.41","11.26"
"GMRINFRA","36.15","38.15","35.95","37.15","1.15","3.19","361.45","134.28","38.15","20.80","73.60","31.27"
"MINDTREE","4,587.00","4,733.90","4,580.00","4,633.50","79.70","1.75","15.49","723.00","4,733.90","1,224.00","257.01","32.37"
"MFSL","1,052.00","1,065.00","1,045.00","1,057.60","16.40","1.58","4.82","50.93","1,148.05","566.05","79.77","1.32"
"ZEEL","322.00","333.00","306.40","321.95","3.75","1.18","597.00","1,916.79","362.90","166.80","67.86","87.13"
"COFORGE","5,710.45","5,832.95","5,580.25","5,690.00","37.25","0.66","3.33","190.32","5,832.95","2,077.50","155.91","15.12"
"SRF","11,060.70","11,097.95","10,850.00","11,049.95","51.10","0.46","1.04","114.04","11,378.20","3,993.60","168.40","23.01"
"GODREJPROP","2,199.85","2,273.75","2,172.25","2,203.30","4.00","0.18","39.79","881.48","2,314.30","835.05","154.88","51.01"
"MANAPPURAM","175.20","176.70","173.40","174.25","0.25","0.14","75.88","132.90","218.00","139.10","19.06","6.57"
"M&MFIN","185.20","186.15","183.05","185.20","0.20","0.11","29.95","55.31","224.30","112.70","54.33","26.59"
"BEL","208.00","210.50","207.15","207.35","-0.10","-0.05","31.56","65.93","210.70","86.35","120.94","16.72"
"IRCTC","3,720.00","3,736.00","3,671.05","3,691.85","-2.20","-0.06","8.35","309.19","4,019.70","1,290.05","168.92","43.94"
"SRTRANSFIN","1,395.00","1,406.80","1,373.60","1,380.20","-2.90","-0.21","5.84","81.10","1,534.95","555.55","125.12","7.87"
"CHOLAFIN","591.00","597.40","578.00","584.55","-1.40","-0.24","9.50","55.63","620.75","221.95","154.21","14.60"
"RBLBANK","187.15","189.00","184.90","186.00","-0.50","-0.27","95.85","178.70","274.30","155.60","11.81","14.64"
"TORNTPOWER","497.80","501.95","490.30","493.00","-2.15","-0.43","4.87","24.19","508.70","293.00","53.39","7.07"
"AMARAJABAT","740.00","740.00","728.35","733.05","-3.25","-0.44","3.29","24.10","1,025.55","665.00","0.89","6.87"
