Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY FIN SERVICE","18,644.65","18,692.10","18,521.15","18,595.00","28.80","0.16","403.76","4,701.56","18,634.25","10,114.50","78.34","6.49"
"ICICIGI","1,583.00","1,604.85","1,578.00","1,600.10","23.35","1.48","6.43","102.44","1,675.00","1,200.00","27.18","9.20"
"HDFCBANK","1,579.00","1,594.00","1,575.00","1,590.95","20.95","1.33","54.98","872.42","1,641.00","1,025.00","51.92","2.06"
"ICICIBANK","722.60","724.60","716.55","720.35","3.35","0.47","66.24","477.37","734.80","333.75","104.73","3.73"
"HDFC","2,818.60","2,847.95","2,800.00","2,827.15","9.75","0.35","14.09","397.13","2,896.00","1,623.00","69.58","5.05"
"SBILIFE","1,219.00","1,238.55","1,207.60","1,220.75","2.45","0.20","12.58","154.35","1,253.65","755.25","46.55","5.20"
"KOTAKBANK","2,030.00","2,052.35","2,013.90","2,027.80","3.80","0.19","15.21","309.04","2,052.35","1,230.60","58.99","18.94"
"HDFCLIFE","728.90","731.30","720.75","726.05","1.40","0.19","13.49","97.94","775.65","555.95","25.13","8.19"
"BAJAJFINSV","18,599.95","18,813.00","18,317.40","18,501.00","-2.85","-0.02","2.70","502.11","18,813.00","5,400.00","227.65","12.39"
"CHOLAFIN","591.00","597.40","578.00","583.35","-2.60","-0.44","9.61","56.28","620.75","221.95","153.69","14.36"
"SRTRANSFIN","1,395.00","1,406.80","1,373.60","1,377.00","-6.10","-0.44","5.92","82.11","1,534.95","555.55","124.60","7.62"
"M&MFIN","185.20","186.15","183.05","184.15","-0.85","-0.46","30.80","56.87","224.30","112.70","53.46","25.87"
"MUTHOOTFIN","1,520.00","1,530.70","1,505.00","1,507.45","-12.50","-0.82","1.87","28.39","1,638.85","1,008.25","44.22","0.29"
"PEL","2,798.00","2,830.00","2,740.30","2,755.00","-24.60","-0.89","10.75","300.31","2,858.00","1,178.55","122.63","5.57"
"ICICIPRULI","686.00","693.50","676.90","679.00","-6.75","-0.98","11.97","81.94","724.30","397.55","66.14","1.49"
"HDFCAMC","3,254.10","3,264.50","3,201.20","3,208.70","-31.95","-0.99","1.18","37.98","3,365.00","2,070.05","49.72","9.80"
"RECLTD","155.60","157.25","153.35","153.55","-1.85","-1.19","22.15","34.48","167.80","91.80","53.55","6.34"
"AXISBANK","812.55","816.95","800.15","801.35","-10.80","-1.33","32.32","260.90","820.70","400.15","90.91","7.37"
"BAJFINANCE","7,949.85","7,949.85","7,784.00","7,790.65","-108.40","-1.37","6.80","533.53","7,999.00","3,006.90","140.17","11.61"
"SBIN","451.10","451.90","442.65","443.05","-6.75","-1.50","64.75","288.49","471.90","175.50","141.05","6.09"
"PFC","138.70","139.90","135.90","135.95","-2.30","-1.66","19.92","27.48","140.80","82.05","57.71","8.54"

