Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY MIDSML 400","10,694.50","10,708.80","10,600.80","10,613.70","-16.45","-0.15","11,123.50","17,937.79","10,714.40","5,674.50","83.61","9.84"
"OBEROIRLTY","854.90","967.00","847.00","958.00","110.70","13.07","96.20","892.53","967.00","370.05","132.55","42.15"
"KPRMILL","426.30","493.75","425.00","471.50","51.80","12.34","11.81","54.70","493.75","115.60","-21.55","-72.46"
"GUJALKALI","557.00","609.55","554.00","594.40","42.20","7.64","33.05","196.02","609.55","304.65","77.67","34.66"
"RCF","74.45","79.65","74.10","79.50","5.35","7.22","51.06","39.25","100.15","41.65","82.34","11.58"
"ICIL","262.95","284.05","261.00","277.75","17.90","6.89","18.29","50.80","285.00","87.05","187.23","10.22"
"TATACHEM","851.90","901.70","851.25","897.00","49.85","5.88","80.20","711.73","901.70","276.10","205.57","8.09"
"KPITTECH","357.00","371.15","355.00","368.45","20.30","5.83","37.30","136.10","385.30","89.75","227.37","16.93"
"CHAMBLFERT","308.10","324.50","308.00","322.40","15.70","5.12","11.82","37.58","348.90","145.50","117.32","-3.30"
"JBCHEPHARM","1,765.30","1,848.15","1,745.15","1,834.65","87.95","5.04","3.68","66.61","1,937.70","873.20","98.75","9.90"
"IDEA","10.60","11.60","10.45","11.05","0.50","4.74","4,931.42","549.36","13.80","4.55","20.11","76.80"
"KEI","907.10","939.35","902.05","938.45","38.70","4.30","5.34","49.23","939.35","319.60","165.10","29.94"
"ABFRL","220.00","229.90","219.00","227.75","9.15","4.19","60.29","135.97","234.50","125.60","73.00","14.94"
"PAGEIND","33,123.75","34,876.00","33,026.65","34,499.90","1,376.15","4.15","0.35","120.42","34,876.00","18,425.05","78.06","10.43"
"GNFC","390.15","410.00","390.10","402.80","15.10","3.89","33.16","133.89","422.40","183.20","91.35","21.27"
"CERA","4,610.60","4,785.00","4,604.25","4,757.00","169.35","3.69","0.18","8.33","4,895.00","2,215.50","108.78","1.45"
"BALRAMCHIN","358.00","369.60","355.95","360.55","12.80","3.68","19.32","70.24","386.80","140.00","146.36","0.45"
"PNCINFRA","357.65","370.50","355.40","367.60","12.75","3.59","2.47","8.99","388.70","153.00","130.33","23.19"
"NFL","55.85","57.55","55.50","57.55","1.95","3.51","10.69","6.06","73.70","29.85","75.73","10.89"
"MPHASIS","3,375.00","3,534.60","3,370.50","3,454.65","116.05","3.48","8.84","306.70","3,534.60","1,244.15","149.60","23.42"
"TEAMLEASE","4,400.00","4,595.00","4,383.40","4,536.70","145.55","3.31","0.24","10.79","4,850.00","2,099.95","110.98","12.84"
"AFFLE","5,198.40","5,360.00","5,157.00","5,330.00","156.30","3.02","1.09","57.38","6,285.65","2,502.20","80.49","-0.80"
"DBL","602.00","602.00","569.00","570.40","16.35","2.95","19.90","115.81","719.90","321.05","64.21","13.42"
"GMRINFRA","36.15","38.15","35.95","37.00","1.00","2.78","369.07","137.07","38.15","20.80","72.90","30.74"
"MCX","1,630.00","1,692.70","1,617.80","1,674.35","44.80","2.75","11.89","197.99","1,875.00","1,432.30","4.91","14.47"
"CYIENT","1,071.60","1,113.40","1,068.00","1,092.30","28.30","2.66","4.85","53.28","1,148.00","365.00","181.56","14.91"
"KAJARIACER","1,188.00","1,200.90","1,174.00","1,197.90","30.90","2.65","1.80","21.39","1,228.90","490.10","130.83","10.06"
"ABCAPITAL","118.00","118.80","115.75","116.00","2.90","2.56","55.69","65.12","139.70","59.85","83.69","14.17"
"PHOENIXLTD","935.00","954.80","914.00","947.00","23.30","2.52","6.02","56.19","959.00","541.70","66.53","14.10"
"TATAELXSI","5,764.70","5,971.90","5,733.00","5,870.00","143.20","2.50","2.55","149.91","5,971.90","1,161.35","387.36","23.69"
"IRCON","45.00","46.60","44.60","45.60","1.05","2.36","79.74","36.56","54.25","36.38","-43.28","12.18"
"BLUESTARCO","867.85","872.00","854.00","870.00","19.60","2.30","0.89","7.67","976.60","603.55","34.89","11.22"
"CENTURYPLY","440.00","450.00","431.40","446.20","10.00","2.29","4.12","18.29","459.00","161.00","168.71","11.16"
"OIL","216.30","219.45","215.50","218.75","4.90","2.29","9.61","20.92","222.70","83.50","148.44","27.85"
"LTTS","4,832.00","5,000.00","4,804.95","4,878.00","106.00","2.22","5.98","294.41","5,000.00","1,561.00","200.17","27.57"
"IRB","172.05","176.15","171.75","174.85","3.70","2.16","19.73","34.47","189.75","97.40","59.32","7.27"
"IFBIND","1,217.85","1,261.75","1,201.05","1,231.00","24.60","2.04","0.83","10.28","1,502.90","543.00","115.25","38.90"
"PRESTIGE","459.00","473.90","452.50","465.50","9.15","2.01","28.11","130.78","501.90","230.00","89.00","37.19"
"CSBBANK","306.00","309.75","305.85","308.85","6.05","2.00","1.81","5.58","374.00","193.20","40.23","4.46"
"IIFLWAM","1,618.90","1,650.00","1,597.00","1,626.95","31.70","1.99","0.86","13.93","1,725.00","856.90","65.69","6.24"
"ASTRAL","2,128.00","2,178.00","2,098.00","2,148.80","39.05","1.85","3.57","76.51","2,630.00","1,070.20","95.44","8.93"
"WABCOINDIA","7,099.00","7,264.85","7,099.00","7,227.00","130.40","1.84","0.06","4.13","7,871.95","4,750.05","25.66","0.71"
"GSFC","114.40","118.00","113.75","115.40","2.05","1.81","31.61","36.65","127.15","54.00","105.16","11.07"
"KEC","453.55","461.95","445.00","461.20","7.65","1.69","2.77","12.53","486.00","298.50","50.72","23.35"
"BSOFT","446.25","457.80","444.10","446.95","7.05","1.60","24.02","108.06","457.80","172.20","130.45","8.27"
"GICRE","143.35","148.80","143.15","145.50","2.25","1.57","8.85","12.96","244.20","115.00","19.41","4.26"
"MFSL","1,052.00","1,065.00","1,045.00","1,057.20","16.00","1.54","4.89","51.60","1,148.05","566.05","79.70","1.28"
"SONATSOFTW","930.00","960.00","930.00","937.70","14.15","1.53","3.37","31.86","960.00","299.75","182.57","6.75"
"CHOLAHLDNG","695.00","704.35","690.15","701.00","10.50","1.52","0.15","1.03","760.00","362.90","78.92","7.84"
"MINDTREE","4,587.00","4,733.90","4,580.00","4,622.60","68.80","1.51","15.57","726.72","4,733.90","1,224.00","256.17","32.06"
"AEGISCHEM","240.00","245.75","240.00","242.25","3.60","1.51","6.10","14.83","387.90","200.10","7.91","-11.00"
"GRINDWELL","1,427.25","1,449.80","1,408.10","1,436.05","20.70","1.46","0.34","4.90","1,510.70","514.10","169.30","14.20"
"ANGELBRKG","1,250.00","1,290.00","1,227.50","1,261.80","18.00","1.45","2.12","26.72","1,475.00","222.20","-","-"
"STLTECH","285.00","288.50","282.00","286.00","4.00","1.42","6.60","18.86","318.00","139.25","-","-"
"IOLCP","564.65","574.00","563.00","570.00","7.75","1.38","2.05","11.64","807.00","522.00","-24.13","4.52"
"VIPIND","495.00","509.80","494.25","502.80","6.85","1.38","4.59","23.08","517.45","270.00","72.52","9.15"
"TATAINVEST","1,295.80","1,315.05","1,293.00","1,307.60","17.25","1.34","0.54","7.11","1,385.00","812.50","54.71","7.07"
"EIHOTEL","124.40","125.95","121.10","125.05","1.65","1.34","20.66","25.62","125.95","71.90","58.29","19.32"
"SUDARSCHEM","667.45","689.80","666.35","673.20","8.85","1.33","3.97","26.88","794.00","433.00","46.28","18.69"
"TCNSBRANDS","634.95","645.00","628.00","637.65","8.40","1.33","0.14","0.90","706.05","365.15","63.58","14.59"
"NHPC","27.75","28.20","27.75","28.10","0.35","1.26","42.14","11.79","28.60","19.70","39.80","6.84"
"DEEPAKNTR","2,481.00","2,527.00","2,455.65","2,500.00","30.80","1.25","9.38","234.01","2,527.00","702.10","196.17","19.48"
"DISHTV","21.20","21.70","20.65","20.85","0.25","1.21","111.07","23.38","23.35","8.70","64.82","61.00"
"VAKRANGEE","40.25","42.55","39.80","40.05","0.45","1.14","157.36","64.77","69.85","24.50","57.37","1.65"
"THYROCARE","1,269.00","1,289.65","1,260.55","1,278.00","14.40","1.14","1.03","13.19","1,465.00","740.75","62.48","-0.19"
"ROUTE","1,997.70","2,024.90","1,981.10","2,018.50","21.20","1.06","1.31","26.30","2,307.00","687.60","144.89","6.71"
"RAJESHEXPO","582.10","591.65","582.10","585.30","6.10","1.05","2.39","13.99","657.75","441.00","22.65","-1.54"
"SUNTECK","496.00","507.00","486.00","495.65","5.05","1.03","14.85","73.82","507.00","244.35","91.44","40.51"
"AKZOINDIA","2,219.00","2,238.00","2,198.00","2,221.85","22.50","1.02","0.09","1.99","2,530.00","1,910.00","6.48","1.69"
