Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY PSU BANK","2,413.55","2,414.40","2,366.65","2,367.30","-34.35","-1.43","608.46","618.91","2,660.60","1,232.55","83.45","3.94"
"UCOBANK","13.50","13.55","13.30","13.45","0.00","0.00","17.07","2.29","16.35","10.75","9.80","6.75"
"CENTRALBK","21.20","21.45","20.90","21.00","-0.10","-0.47","19.89","4.20","29.65","10.10","25.75","6.87"
"IOB","20.75","20.85","20.40","20.50","-0.10","-0.49","14.71","3.03","29.00","8.50","121.62","7.61"
"MAHABANK","18.50","18.50","18.15","18.15","-0.10","-0.55","18.51","3.38","32.00","10.55","62.78","0.55"
"UNIONBANK","35.00","35.20","34.60","34.65","-0.20","-0.57","26.41","9.19","45.25","23.10","37.77","3.90"
"J&KBANK","37.20","37.25","36.70","36.70","-0.25","-0.68","7.38","2.72","44.30","14.05","139.09","7.62"
"PNB","39.00","39.00","38.00","38.05","-0.45","-1.17","197.01","75.67","46.35","26.30","29.64","4.68"
"BANKINDIA","55.05","55.15","53.90","53.95","-0.65","-1.19","35.78","19.51","101.40","38.20","33.37","-15.04"
"SBIN","451.10","451.90","442.65","443.05","-6.75","-1.50","64.75","288.49","471.90","175.50","141.05","6.09"
"INDIANB","131.95","132.90","129.50","129.95","-2.00","-1.52","16.03","21.07","157.00","53.10","127.38","10.41"
"CANBK","161.00","161.70","157.50","158.05","-2.75","-1.71","50.00","79.80","174.60","82.25","79.30","1.51"
"BANKBARODA","80.05","80.20","78.10","78.15","-1.50","-1.88","138.24","109.11","99.85","39.50","88.09","3.51"
"PSB","17.40","17.40","16.55","16.60","-0.55","-3.21","2.68","0.45","23.75","10.30","48.88","4.40"

