Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY MIDCAP 150","11,434.40","11,451.70","11,327.95","11,344.75","-25.85","-0.23","8,659.44","13,172.06","11,440.55","6,166.45","80.38","10.10"
"OBEROIRLTY","854.90","967.00","847.00","961.70","114.40","13.50","95.63","887.03","967.00","370.05","133.45","42.70"
"TATACHEM","851.90","901.70","851.25","894.00","46.85","5.53","79.65","706.78","901.70","276.10","204.55","7.73"
"IDEA","10.60","11.60","10.45","11.10","0.55","5.21","4,853.74","540.71","13.80","4.55","20.65","77.60"
"PAGEIND","33,123.75","34,876.00","33,026.65","34,566.45","1,442.70","4.36","0.34","116.72","34,876.00","18,425.05","78.41","10.64"
"ABFRL","220.00","229.90","219.00","227.20","8.60","3.93","59.96","135.22","234.50","125.60","72.58","14.66"
"MPHASIS","3,375.00","3,534.60","3,370.50","3,454.50","115.90","3.47","8.82","306.15","3,534.60","1,244.15","149.58","23.42"
"PHOENIXLTD","935.00","954.80","914.00","950.00","26.30","2.85","6.00","56.03","959.00","541.70","67.06","14.46"
"ABCAPITAL","118.00","118.80","115.75","116.25","3.15","2.79","55.28","64.65","139.70","59.85","84.09","14.42"
"GMRINFRA","36.15","38.15","35.95","36.95","0.95","2.64","367.89","136.64","38.15","20.80","72.66","30.57"
"TATAELXSI","5,764.70","5,971.90","5,733.00","5,875.70","148.90","2.60","2.55","149.66","5,971.90","1,161.35","387.83","23.81"
"PRESTIGE","459.00","473.90","452.50","466.60","10.25","2.25","28.09","130.67","501.90","230.00","89.44","37.52"
"IIFLWAM","1,618.90","1,650.00","1,597.00","1,630.95","35.70","2.24","0.86","13.92","1,725.00","856.90","66.10","6.50"
"OIL","216.30","219.45","215.50","218.65","4.80","2.24","9.56","20.82","222.70","83.50","148.32","27.79"
"LTTS","4,832.00","5,000.00","4,804.95","4,875.20","103.20","2.16","5.97","294.03","5,000.00","1,561.00","199.99","27.49"
"ASTRAL","2,128.00","2,178.00","2,098.00","2,147.55","37.80","1.79","3.55","76.05","2,630.00","1,070.20","95.33","8.87"
"MINDTREE","4,587.00","4,733.90","4,580.00","4,633.20","79.40","1.74","15.53","725.00","4,733.90","1,224.00","256.99","32.36"
"GICRE","143.35","148.80","143.15","145.60","2.35","1.64","8.84","12.95","244.20","115.00","19.49","4.34"
"MFSL","1,052.00","1,065.00","1,045.00","1,057.35","16.15","1.55","4.87","51.36","1,148.05","566.05","79.73","1.30"
"CHOLAHLDNG","695.00","704.35","690.15","701.00","10.50","1.52","0.15","1.03","760.00","362.90","78.92","7.84"
"NHPC","27.75","28.20","27.75","28.10","0.35","1.26","42.10","11.78","28.60","19.70","39.80","6.84"
"DEEPAKNTR","2,481.00","2,527.00","2,455.65","2,498.25","29.05","1.18","9.36","233.52","2,527.00","702.10","195.97","19.40"
"AKZOINDIA","2,219.00","2,238.00","2,198.00","2,221.85","22.50","1.02","0.09","1.95","2,530.00","1,910.00","6.48","1.69"
"EMAMILTD","589.55","598.15","585.60","590.30","5.90","1.01","2.02","11.95","621.80","334.40","60.80","0.37"
"RAJESHEXPO","582.10","591.65","582.10","585.00","5.80","1.00","2.33","13.67","657.75","441.00","22.59","-1.59"
"AAVAS","2,582.00","2,649.00","2,525.00","2,586.55","23.90","0.93","1.11","28.54","3,074.35","1,310.05","90.17","7.61"
"ATGL","1,403.00","1,425.00","1,382.00","1,415.00","12.50","0.89","2.85","40.38","1,679.00","174.25","-","-"
"KANSAINER","628.00","634.00","625.05","630.50","5.45","0.87","3.67","23.08","680.00","461.05","31.92","-0.11"
