Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY SMLCAP 50","5,405.90","5,413.75","5,364.50","5,373.80","7.95","0.15","2,354.41","4,674.90","5,460.20","2,750.45","91.82","9.34"
"KPRMILL","426.30","493.75","425.00","471.70","52.00","12.39","11.77","54.53","493.75","115.60","-21.52","-72.45"
"GUJALKALI","557.00","609.55","554.00","594.85","42.65","7.72","32.96","195.48","609.55","304.65","77.81","34.76"
"ICIL","262.95","284.05","261.00","278.20","18.35","7.06","18.26","50.72","285.00","87.05","187.69","10.40"
"KPITTECH","357.00","371.15","355.00","368.05","19.90","5.72","37.18","135.67","385.30","89.75","227.01","16.80"
"RCF","74.45","78.65","74.10","78.35","4.20","5.66","46.61","35.74","100.15","41.65","79.70","9.96"
"JBCHEPHARM","1,765.30","1,848.15","1,745.15","1,835.75","89.05","5.10","3.67","66.47","1,937.70","873.20","98.87","9.96"
"CHAMBLFERT","308.10","324.50","308.00","321.55","14.85","4.84","11.77","37.45","348.90","145.50","116.75","-3.55"
"GNFC","390.15","410.00","390.10","402.75","15.05","3.88","33.15","133.84","422.40","183.20","91.33","21.26"
"CERA","4,610.60","4,785.00","4,604.25","4,762.40","174.75","3.81","0.18","8.32","4,895.00","2,215.50","109.02","1.57"
"DBL","602.00","602.00","571.20","574.50","20.45","3.69","19.53","113.69","719.90","321.05","65.40","14.24"
"PNCINFRA","357.65","370.50","355.40","367.55","12.70","3.58","2.46","8.97","388.70","153.00","130.29","23.17"
"TEAMLEASE","4,400.00","4,595.00","4,383.40","4,543.00","151.85","3.46","0.24","10.72","4,850.00","2,099.95","111.28","12.99"
"BALRAMCHIN","358.00","369.60","355.95","359.70","11.95","3.44","19.30","70.16","386.80","140.00","145.78","0.21"
"AFFLE","5,198.40","5,360.00","5,157.00","5,331.90","158.20","3.06","1.09","57.36","6,285.65","2,502.20","80.55","-0.76"
"NFL","55.85","57.40","55.50","57.20","1.60","2.88","9.88","5.59","73.70","29.85","74.66","10.21"
"CYIENT","1,071.60","1,113.40","1,068.00","1,093.45","29.45","2.77","4.84","53.14","1,148.00","365.00","181.85","15.03"
"KEI","907.10","930.40","902.05","924.45","24.70","2.75","4.88","44.93","930.40","319.60","161.14","28.00"
"IRCON","45.00","46.60","44.60","45.75","1.20","2.69","79.24","36.33","54.25","36.38","-43.10","12.55"
"MCX","1,630.00","1,692.70","1,617.80","1,672.10","42.55","2.61","11.88","197.73","1,875.00","1,432.30","4.77","14.32"
"KAJARIACER","1,188.00","1,200.90","1,174.00","1,196.95","29.95","2.57","1.79","21.33","1,228.90","490.10","130.65","9.97"
"CENTURYPLY","440.00","450.00","431.40","446.35","10.15","2.33","4.11","18.29","459.00","161.00","168.80","11.20"
"IRB","172.05","176.15","171.75","174.80","3.65","2.13","19.67","34.37","189.75","97.40","59.27","7.24"
"BLUESTARCO","867.85","872.00","854.00","868.00","17.60","2.07","0.83","7.20","976.60","603.55","34.58","10.97"
"CSBBANK","306.00","309.75","305.85","308.85","6.05","2.00","1.80","5.56","374.00","193.20","40.23","4.46"
"IFBIND","1,217.85","1,261.75","1,201.05","1,230.35","23.95","1.99","0.83","10.28","1,502.90","543.00","115.13","38.83"
"WABCOINDIA","7,099.00","7,264.85","7,099.00","7,226.25","129.65","1.83","0.06","4.12","7,871.95","4,750.05","25.64","0.70"
"BSOFT","446.25","457.80","444.10","447.60","7.70","1.75","24.00","107.96","457.80","172.20","130.78","8.43"
"GSFC","114.40","118.00","113.75","115.25","1.90","1.68","31.40","36.41","127.15","54.00","104.89","10.92"
"ANGELBRKG","1,250.00","1,290.00","1,227.50","1,264.30","20.50","1.65","2.11","26.57","1,475.00","222.20","-","-"
"SONATSOFTW","930.00","960.00","930.00","938.00","14.45","1.56","3.35","31.68","960.00","299.75","182.66","6.79"
