Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY NEXT 50","43,596.05","43,648.35","43,197.80","43,257.95","-179.75","-0.41","1,776.33","7,354.59","43,633.30","25,860.90","64.54","9.23"
"INDUSTOWER","280.70","320.90","278.50","317.25","38.20","13.69","331.96","1,014.06","320.90","162.20","-","-"
"LTI","6,170.00","6,498.50","6,100.00","6,277.00","240.30","3.98","9.08","577.81","6,498.50","2,311.60","156.37","25.98"
"BERGEPAINT","822.10","853.00","821.05","844.35","23.25","2.83","18.52","156.42","872.95","560.05","47.92","6.75"
"DLF","404.40","418.30","397.70","412.50","10.65","2.65","318.92","1,301.31","418.30","142.50","174.18","30.87"
"ALKEM","3,962.00","4,070.00","3,950.10","4,030.25","67.05","1.69","2.01","80.90","4,070.00","2,540.05","46.64","5.02"
"ICICIGI","1,583.00","1,604.85","1,578.00","1,600.00","23.25","1.47","6.29","100.32","1,675.00","1,200.00","27.17","9.20"
"PETRONET","234.50","238.00","234.25","236.75","2.95","1.26","23.48","55.44","275.35","207.25","9.84","3.63"
"ADANIENT","1,483.00","1,516.00","1,465.05","1,492.75","18.40","1.25","17.78","264.99","1,717.20","269.50","426.45","3.82"
"DABUR","649.00","658.95","649.00","654.90","7.25","1.12","15.40","100.93","658.95","478.80","34.82","10.47"
"PIDILITIND","2,442.00","2,477.70","2,433.30","2,454.40","19.40","0.80","3.82","93.98","2,477.70","1,390.00","72.74","11.15"
"DMART","4,440.00","4,461.00","4,405.00","4,440.75","30.85","0.70","1.23","54.76","4,500.00","1,954.85","116.06","19.74"
"YESBANK","13.00","13.30","12.95","13.05","0.05","0.38","375.21","48.97","20.75","10.50","-0.76","18.64"
"COLPAL","1,706.00","1,716.05","1,691.45","1,698.80","-2.75","-0.16","1.96","33.43","1,823.40","1,340.00","25.47","3.07"
"GLAND","3,930.00","3,937.60","3,882.00","3,892.00","-13.25","-0.34","0.33","12.78","4,350.00","1,700.00","-","-"
"MRF","80,500.00","80,690.00","79,573.65","79,940.00","-280.70","-0.35","0.07","58.04","98,599.95","55,300.00","39.73","3.61"
"MCDOWELL-N","834.95","853.25","818.55","826.10","-3.05","-0.37","38.93","325.29","853.25","494.00","62.25","19.23"
"TORNTPHARM","3,111.00","3,134.50","3,082.45","3,087.65","-13.40","-0.43","0.31","9.65","3,226.90","2,311.10","16.04","1.02"
"PEL","2,798.00","2,830.00","2,740.30","2,765.05","-14.55","-0.52","10.66","297.85","2,858.00","1,178.55","123.44","5.95"
"ADANIGREEN","1,149.20","1,159.00","1,125.25","1,143.10","-6.10","-0.53","18.55","211.68","1,390.00","558.85","94.32","-9.82"
"PGHH","14,449.80","14,449.80","14,122.05","14,178.40","-91.35","-0.64","0.02","2.93","14,590.45","9,761.00","42.37","8.74"
"MARICO","569.45","570.00","562.60","563.00","-3.80","-0.67","16.60","94.08","587.35","333.00","65.44","7.92"
"MUTHOOTFIN","1,520.00","1,530.70","1,505.00","1,509.70","-10.25","-0.67","1.84","27.86","1,638.85","1,008.25","44.43","0.44"
"GAIL","154.00","154.80","151.40","151.85","-1.05","-0.69","82.66","126.85","170.30","81.20","77.19","4.40"
"HINDPETRO","280.20","282.40","276.50","278.00","-2.00","-0.71","14.06","39.23","312.00","162.90","56.75","11.31"
"BAJAJHLDNG","4,995.00","5,012.45","4,908.35","4,916.00","-36.00","-0.73","0.50","24.55","5,012.45","2,212.65","97.05","19.35"
"JUBLFOOD","4,181.15","4,198.50","4,119.50","4,150.70","-30.45","-0.73","1.51","62.72","4,272.55","2,100.20","79.25","12.18"
"CADILAHC","567.05","569.60","561.30","562.85","-4.40","-0.78","9.87","55.74","673.70","374.15","46.61","2.54"
