,timestamp,open,high,low,close,volume,oi
0,2021-12-17T09:15:00+0530,781.9,781.9,772.2,774.0,1517,0
1,2021-12-17T09:20:00+0530,774.0,775.0,771.8,772.75,1289,0
2,2021-12-17T09:25:00+0530,772.75,772.75,769.25,770.5,1085,0
3,2021-12-17T09:30:00+0530,770.5,770.5,766.25,768.5,1197,0
4,2021-12-17T09:35:00+0530,768.5,769.4,766.5,767.2,1450,0
5,2021-12-17T09:40:00+0530,767.2,767.95,764.55,765.8,959,0
6,2021-12-17T09:45:00+0530,765.8,767.6,765.0,767.6,1741,0
7,2021-12-17T09:50:00+0530,767.6,767.6,763.6,763.6,1106,0
8,2021-12-17T09:55:00+0530,763.6,763.6,761.3,762.6,435,0
9,2021-12-17T10:00:00+0530,762.55,763.7,761.3,761.6,805,0
10,2021-12-17T10:05:00+0530,761.6,762.7,761.6,762.65,247,0
11,2021-12-17T10:10:00+0530,762.55,764.35,761.8,763.9,1799,0
12,2021-12-17T10:15:00+0530,763.9,764.6,762.55,763.0,716,0
13,2021-12-17T10:20:00+0530,763.0,763.1,760.0,761.8,1286,0
14,2021-12-17T10:25:00+0530,761.8,762.7,759.0,761.8,2903,0
15,2021-12-17T10:30:00+0530,761.75,762.25,760.0,760.9,366,0
16,2021-12-17T10:35:00+0530,760.9,762.3,758.0,758.55,1327,0
17,2021-12-17T10:40:00+0530,758.55,761.45,758.5,758.9,1857,0
18,2021-12-17T10:45:00+0530,758.9,761.05,757.55,758.2,469,0
19,2021-12-17T10:50:00+0530,758.2,759.6,756.65,757.6,574,0
20,2021-12-17T10:55:00+0530,757.6,757.7,756.65,756.65,478,0
21,2021-12-17T11:00:00+0530,757.5,758.25,756.1,757.65,529,0
22,2021-12-17T11:05:00+0530,758.0,758.25,757.05,757.5,558,0
23,2021-12-17T11:10:00+0530,757.5,760.75,756.95,759.85,609,0
24,2021-12-17T11:15:00+0530,760.2,762.0,759.65,761.45,600,0
25,2021-12-17T11:20:00+0530,761.45,762.0,759.05,760.2,163,0
26,2021-12-17T11:25:00+0530,760.2,762.3,760.2,761.35,300,0
27,2021-12-17T11:30:00+0530,761.35,761.95,760.75,761.9,100,0
28,2021-12-17T11:35:00+0530,761.9,761.95,758.2,758.2,1207,0
29,2021-12-17T11:40:00+0530,758.2,758.75,757.0,758.7,304,0
30,2021-12-17T11:45:00+0530,758.7,759.1,757.1,759.0,256,0
31,2021-12-17T11:50:00+0530,759.0,759.6,757.1,759.5,377,0
32,2021-12-17T11:55:00+0530,759.5,759.7,755.0,756.4,4156,0
33,2021-12-17T12:00:00+0530,756.4,756.9,755.4,755.95,181,0
34,2021-12-17T12:05:00+0530,755.95,756.8,754.5,754.5,381,0
35,2021-12-17T12:10:00+0530,754.5,757.45,754.5,757.45,638,0
36,2021-12-17T12:15:00+0530,757.6,760.0,757.6,760.0,1363,0
37,2021-12-17T12:20:00+0530,760.0,760.0,758.1,759.0,114,0
38,2021-12-17T12:25:00+0530,759.5,759.5,757.8,759.4,411,0
39,2021-12-17T12:30:00+0530,759.75,759.75,758.65,759.2,195,0
40,2021-12-17T12:35:00+0530,758.4,759.35,758.3,759.0,29,0
41,2021-12-17T12:40:00+0530,759.0,759.0,758.0,758.0,67,0
42,2021-12-17T12:45:00+0530,758.0,758.5,758.0,758.5,129,0
43,2021-12-17T12:50:00+0530,758.5,761.5,758.5,761.35,775,0
44,2021-12-17T12:55:00+0530,761.35,761.85,760.7,761.75,192,0
45,2021-12-17T13:00:00+0530,761.75,761.85,759.35,760.1,372,0
46,2021-12-17T13:05:00+0530,760.1,760.9,759.35,760.9,405,0
47,2021-12-17T13:10:00+0530,760.05,761.45,759.5,760.3,2483,0
48,2021-12-17T13:15:00+0530,760.3,762.55,758.3,760.0,7761,0
49,2021-12-17T13:20:00+0530,760.0,762.7,758.1,760.85,10397,0
50,2021-12-17T13:25:00+0530,760.85,762.75,757.4,762.6,13095,0
51,2021-12-17T13:30:00+0530,762.65,762.65,755.7,759.5,9871,0
52,2021-12-17T13:35:00+0530,758.55,761.6,758.55,759.3,4355,0
53,2021-12-17T13:40:00+0530,759.3,759.65,755.6,756.4,2978,0
54,2021-12-17T13:45:00+0530,757.2,757.55,754.9,757.5,1532,0
55,2021-12-17T13:50:00+0530,757.5,758.0,756.15,757.55,530,0
56,2021-12-17T13:55:00+0530,757.55,757.95,756.15,756.4,605,0
57,2021-12-17T14:00:00+0530,756.4,757.45,755.15,756.0,637,0
58,2021-12-17T14:05:00+0530,756.0,756.15,755.0,755.95,321,0
59,2021-12-17T14:10:00+0530,755.95,755.95,754.25,755.85,1172,0
60,2021-12-17T14:15:00+0530,755.65,755.75,754.45,755.6,154,0
61,2021-12-17T14:20:00+0530,754.4,755.6,754.3,755.6,150,0
62,2021-12-17T14:25:00+0530,755.6,756.35,754.6,755.7,310,0
63,2021-12-17T14:30:00+0530,755.65,756.0,754.15,755.45,525,0
64,2021-12-17T14:35:00+0530,755.45,755.45,753.35,753.95,803,0
65,2021-12-17T14:40:00+0530,753.3,754.15,752.2,752.7,744,0
66,2021-12-17T14:45:00+0530,752.7,753.45,750.2,750.85,1062,0
67,2021-12-17T14:50:00+0530,750.85,750.95,749.7,750.05,1956,0
68,2021-12-17T14:55:00+0530,750.05,750.8,748.65,749.95,1258,0
69,2021-12-17T15:00:00+0530,749.95,751.0,749.5,750.25,1179,0
70,2021-12-17T15:05:00+0530,750.25,750.25,748.95,749.4,1692,0
71,2021-12-17T15:10:00+0530,749.4,749.6,748.05,749.6,1085,0
72,2021-12-17T15:15:00+0530,749.1,749.6,747.0,747.1,2035,0
73,2021-12-17T15:20:00+0530,747.1,751.0,746.5,748.0,4951,0
74,2021-12-17T15:25:00+0530,748.05,749.7,745.0,747.5,2650,0
